Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
aardsda01,David Aardsma,David Allan,AllStar,Inactive,220.0,75.0,1981,1980-1989,CO,USA,39.550051,-105.782067,2004-04-06,2015-08-23,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
aaronha01,Hank Aaron,Henry Louis,AllStar,Inactive,180.0,72.0,1934,1930-1939,AL,USA,32.318231,-86.902298,1954-04-13,1976-10-03,122.0,468.0,58.0,131.0,27.0,6.0,13.0,69.0,2.0,2.0,28.0,39.0,R,R
aaronto01,Tommie Aaron,Tommie Lee,AllStar,Inactive,190.0,75.0,1939,1930-1939,AL,USA,32.318231,-86.902298,1962-04-10,1971-09-26,141.0,334.0,54.0,77.0,20.0,2.0,8.0,38.0,6.0,0.0,41.0,58.0,R,R
aasedo01,Don Aase,Donald William,AllStar,Inactive,190.0,75.0,1954,1950-1959,CA,USA,36.778261,-119.417932,1977-07-26,1990-10-03,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
abadan01,Andy Abad,Fausto Andres,AllStar,Inactive,184.0,73.0,1972,1970-1979,FL,USA,27.664827,-81.515754,2001-09-10,2006-04-13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
abadfe01,Fernando Abad,Fernando Antonio,AllStar,Active,220.0,73.0,1985,1980-1989,La Romana,D.R.,18.735693,-70.162651,2010-07-28,2015-10-03,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L,L
abadijo01,John Abadie,John W.,AllStar,Inactive,192.0,72.0,1854,1850-1859,PA,USA,41.203322,-77.194525,1875-04-26,1875-06-10,11.0,45.0,3.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,R,R
abbated01,Ed Abbaticchio,Edward James,AllStar,Inactive,170.0,71.0,1877,1870-1879,PA,USA,41.203322,-77.194525,1897-09-04,1910-09-15,3.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,R,R
abbeybe01,Bert Abbey,Bert Wood,AllStar,Inactive,175.0,71.0,1869,1860-1869,VT,USA,44.558803,-72.577841,1892-06-14,1896-09-23,27.0,75.0,5.0,9.0,1.0,0.0,0.0,3.0,2.0,0.0,9.0,27.0,R,R
abbeych01,Charlie Abbey,Charles S.,AllStar,Inactive,169.0,68.0,1866,1860-1869,NE,USA,41.492537,-99.901813,1893-08-16,1897-08-19,31.0,116.0,11.0,30.0,1.0,4.0,0.0,12.0,9.0,0.0,12.0,6.0,L,L
abbotda01,Dan Abbott,Leander Franklin,AllStar,Inactive,190.0,71.0,1862,1860-1869,OH,USA,40.417287,-82.907123,1890-04-19,1890-05-23,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,R,R
abbotfr01,Fred Abbott,Harry Frederick,AllStar,Active,180.0,70.0,1874,1870-1879,OH,USA,40.417287,-82.907123,1903-04-25,1905-09-20,77.0,255.0,25.0,60.0,11.0,3.0,1.0,25.0,8.0,0.0,7.0,0.0,R,R
abbotgl01,Glenn Abbott,William Glenn,AllStar,Inactive,200.0,78.0,1951,1950-1959,AR,USA,35.20105,-91.831833,1973-07-29,1984-08-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
abbotje01,Jeff Abbott,Jeffrey William,AllStar,Inactive,190.0,74.0,1972,1970-1979,GA,USA,32.157435,-82.907123,1997-06-10,2001-09-29,19.0,38.0,8.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,R,L
abbotji01,Jim Abbott,James Anthony,AllStar,Inactive,200.0,75.0,1967,1960-1969,MI,USA,44.314844,-85.602364,1989-04-08,1999-07-21,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
abbotku01,Kurt Abbott,Kurt Thomas,AllStar,Inactive,180.0,71.0,1969,1960-1969,OH,USA,40.417287,-82.907123,1993-09-07,2001-04-13,20.0,61.0,11.0,15.0,1.0,0.0,3.0,9.0,2.0,0.0,3.0,20.0,R,R
abbotky01,Kyle Abbott,Lawrence Kyle,AllStar,Inactive,200.0,76.0,1968,1960-1969,MA,USA,42.407211,-71.382437,1991-09-10,1996-08-24,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
abbotod01,Ody Abbott,Ody Cleon,AllStar,Active,180.0,74.0,1888,1880-1889,PA,USA,41.203322,-77.194525,1910-09-10,1910-10-15,22.0,70.0,2.0,13.0,2.0,1.0,0.0,6.0,3.0,0.0,6.0,20.0,R,R
abbotpa01,Paul Abbott,Paul David,AllStar,Inactive,185.0,75.0,1967,1960-1969,CA,USA,36.778261,-119.417932,1990-08-21,2004-08-07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
aberal01,Al Aber,Albert Julius,AllStar,Inactive,195.0,74.0,1927,1920-1929,OH,USA,40.417287,-82.907123,1950-09-15,1957-09-11,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,L,L
abercda01,Frank Abercrombie,Francis Patterson,AllStar,Inactive,,,1850,1850-1859,OK,USA,35.007752,-97.092877,1871-10-21,1871-10-21,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
willite01,Ted Williams,Theodore Samuel,AllStar,Inactive,205.0,75.0,1918,1910-1919,CA,USA,36.778261,-119.417932,1939-04-20,1960-09-28,149.0,565.0,131.0,185.0,44.0,11.0,31.0,145.0,2.0,1.0,107.0,64.0,L,R
abadfe01,Fernando Abad,Fernando Antonio,AllStar,Inactive,220.0,73.0,1985,1980-1989,La Romana,D.R.,18.735693,-70.162651,2010-07-28,2015-10-03,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,L,L
abreubo01,Bobby Abreu,Bob Kelly,HallofFame,Active,220.0,72.0,1974,1970-1979,Aragua,Venezuela,6.42375,-66.58973,1996-09-01,2014-09-28,15.0,22.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,L,R
abreujo02,Jose Abreu,Jose Dariel,AllStar,Inactive,255.0,75.0,1987,1980-1989,Cienfuegos,Cuba,21.521757,-77.781167,2014-03-31,2015-10-03,145.0,556.0,80.0,176.0,35.0,2.0,36.0,107.0,3.0,1.0,51.0,131.0,R,R
abreuju01,Juan Abreu,Juan de Dios,AllStar,Inactive,185.0,72.0,1985,1980-1989,Duarte,D.R.,18.735693,-70.162651,2011-08-29,2011-09-27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
abreuto01,Tony Abreu,Etanislao Toni,AllStar,Inactive,200.0,70.0,1984,1980-1989,Puerto Plata,D.R.,18.735693,-70.162651,2007-05-22,2014-07-28,59.0,166.0,19.0,45.0,14.0,1.0,2.0,17.0,0.0,0.0,7.0,21.0,B,R
abreuwi01,Winston Abreu,Winston Leonardo,AllStar,Inactive,170.0,74.0,1977,1970-1979,Sanchez Ramirez,D.R.,18.735693,-70.162651,2006-08-06,2009-07-25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
aceveal01,Alfredo Aceves,Alfredo,AllStar,Inactive,205.0,74.0,1982,1980-1989,Sonora,Mexico,23.634501,-102.552784,2008-08-31,2014-06-02,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
acevejo01,Jose Acevedo,Jose Omar,AllStar,Active,185.0,72.0,1977,1970-1979,Distrito Nacional,D.R.,18.735693,-70.162651,2001-06-19,2005-09-29,18.0,34.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,R,R
aceveju01,Juan Acevedo,Juan Carlos,AllStar,Inactive,245.0,74.0,1970,1970-1979,Chihuahua,Mexico,23.634501,-102.552784,1995-04-30,2003-08-05,17.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,R,R
acostcy01,Cy Acosta,Cecilio,AllStar,Inactive,165.0,70.0,1946,1940-1949,Sinaloa,Mexico,23.634501,-102.552784,1972-06-04,1975-05-05,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,R,R
acosted01,Ed Acosta,Eduardo Elixbet,AllStar,Inactive,215.0,77.0,1944,1940-1949,,Panama,8.537981,-80.782127,1970-09-07,1972-10-04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,R
acostjo01,Jose Acosta,Jose,AllStar,Inactive,134.0,66.0,1891,1890-1899,La Habana,Cuba,21.521757,-77.781167,1920-07-28,1922-05-12,17.0,25.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,R,R
acostma01,Manny Acosta,Manuel Alcides,AllStar,Inactive,215.0,76.0,1981,1980-1989,Colon,Panama,8.537981,-80.782127,2007-08-12,2012-10-03,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
acostme01,Merito Acosta,Baldomero Pedro,AllStar,Active,140.0,67.0,1896,1890-1899,,Cuba,21.521757,-77.781167,1913-06-15,1918-09-02,12.0,20.0,3.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,L,L
actama99,Manny Acta,Manuel Elias,AllStar,Inactive,172.0,74.0,1969,1960-1969,San Pedro de Macoris,D.R.,18.735693,-70.162651,,,,,,,,,,,,,,,R,R
adamecr01,Cristhian Adames,Cristhian Pascual,AllStar,Inactive,185.0,72.0,1991,1990-1999,Distrito Nacional,D.R.,18.735693,-70.162651,2014-07-29,2015-10-04,7.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,B,R
adducji02,Jim Adduci,Jim Charles,AllStar,Inactive,210.0,74.0,1985,1980-1989,BC,CAN,56.130366,-106.346771,2013-09-01,2014-09-28,17.0,31.0,2.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,L,L
addybo01,Bob Addy,Robert Edward,AllStar,Inactive,160.0,68.0,1842,1840-1849,ON,CAN,56.130366,-106.346771,1871-05-06,1877-10-06,25.0,118.0,30.0,32.0,6.0,0.0,0.0,13.0,8.0,1.0,4.0,0.0,L,L
adriaeh01,Ehire Adrianza,Ehire Enrique,AllStar,Inactive,170.0,73.0,1989,1980-1989,Miranda,Venezuela,6.42375,-66.58973,2013-09-08,2015-09-22,9.0,18.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,B,R
aguilje01,Jesus Aguilar,Jesus Alexander,AllStar,Active,250.0,75.0,1990,1990-1999,Aragua,Venezuela,6.42375,-66.58973,2014-05-15,2015-10-04,19.0,33.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,13.0,R,R
ainsmed01,Eddie Ainsmith,Edward Wilbur,AllStar,Inactive,180.0,71.0,1890,1890-1899,,Russia,61.52401,105.318756,1910-08-09,1924-07-21,33.0,104.0,4.0,20.0,1.0,2.0,0.0,9.0,0.0,0.0,6.0,0.0,R,R
albagi01,Gibson Alba,Gibson Alberto,AllStar,Inactive,160.0,74.0,1960,1960-1969,Santiago,D.R.,18.735693,-70.162651,1988-05-03,1988-05-08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
alberan01,Andrew Albers,Andrew William,AllStar,Inactive,200.0,73.0,1985,1980-1989,SK,CAN,56.130366,-106.346771,2013-08-06,2015-05-01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,L
alberha01,Hanser Alberto,Hanser Joel,AllStar,Inactive,215.0,71.0,1992,1990-1999,Duarte,D.R.,18.735693,-70.162651,2015-05-29,2015-09-24,41.0,99.0,12.0,22.0,2.0,1.0,0.0,4.0,1.0,0.0,2.0,17.0,R,R
