birthState,allStar,hallOfFame,total,lat,lon
AK,1,1,2,63.588753,-154.493062
AL,16,37,53,32.318231,-86.902298
AR,11,16,27,35.20105,-91.831833
AZ,7,2,9,34.048928,-111.093731
Australia,2,1,3,-25.274398,133.775136
CA,158,174,332,36.778261,-119.417932
CO,5,2,7,39.550051,-105.782067
CT,10,11,21,41.603221,-73.087749
Canada,13,7,20,56.130366,-106.346771
Colombia,2,0,2,4.570868,-74.297333
Cuba,17,21,38,21.521757,-77.781167
DC,1,4,5,38.905985,-77.033418
DE,2,3,5,38.910832,-75.52767
Dominican Republic,60,22,82,18.735693,-70.162651
FL,43,33,76,27.664827,-81.515754
France,1,0,1,46.227638,2.213749
GA,18,27,45,32.157435,-82.907123
Germany,2,1,3,51.165691,10.451526
HI,2,3,5,19.898682,-155.665857
IA,10,17,27,41.878003,-93.097702
ID,3,3,6,44.068202,-114.742041
IL,44,67,111,40.633125,-89.398528
IN,18,29,47,40.551217,-85.602364
Jamaica,1,2,3,18.109581,-77.297508
Japan,12,0,12,36.204824,138.252924
KS,4,13,17,39.011902,-98.484246
KY,12,15,27,37.839333,-84.270018
LA,17,19,36,31.244823,-92.145024
MA,21,35,56,42.407211,-71.382437
MD,6,19,25,39.045755,-76.641271
ME,1,2,3,45.253783,-69.445469
MI,27,30,57,44.314844,-85.602364
MN,8,15,23,46.729553,-94.6859
MO,25,54,79,37.964253,-91.831833
MS,11,11,22,32.354668,-89.398528
Mexico,8,2,10,23.634501,-102.552784
NC,28,25,53,35.759573,-79.0193
NE,7,7,14,41.492537,-99.901813
NH,4,6,10,43.193852,-71.572395
NJ,22,25,47,40.058324,-74.405661
NM,3,1,4,34.97273,-105.032363
NV,4,0,4,38.80261,-116.419389
NY,41,97,138,43.299428,-74.217933
Nicaragua,2,1,3,12.865416,-85.207229
OH,35,68,103,40.417287,-82.907123
OK,19,21,40,35.007752,-97.092877
OR,7,8,15,43.804133,-120.554201
PA,36,94,130,41.203322,-77.194525
PR,20,21,41,18.220833,-66.590149
Panama,4,4,8,8.537981,-80.782127
RI,3,5,8,41.580095,-71.477429
SC,14,13,27,33.836081,-81.163725
SD,4,1,5,43.969515,-99.901813
South Korea,2,0,2,35.907757,127.766922
TN,15,20,35,35.517491,-86.580447
TX,71,43,114,31.968599,-99.901813
Taiwan,1,0,1,23.69781,120.960515
VA,17,16,33,37.431573,-78.656894
Venezuela,36,8,44,6.42375,-66.58973
WA,8,12,20,47.751074,-120.740139
WI,11,13,24,43.78444,-88.787868
WV,3,10,13,38.597626,-80.454903
WY,2,1,3,43.075968,-107.290284
