birthState,total,allStar,hallOfFame,lat,lon
AK,11,1.0,1.0,63.588753,-154.493062
AL,322,16.0,37.0,32.318231,-86.902298
AR,152,11.0,16.0,35.20105,-91.831833
AZ,99,7.0,2.0,34.048928,-111.093731
Afghanistan,1,0.0,0.0,33.93911,67.709953
American Samoa,1,0.0,0.0,-14.270972,-170.132217
Aruba,5,0.0,0.0,12.52111,-69.968338
Australia,28,2.0,1.0,-25.274398,133.775136
Austria,4,0.0,0.0,47.516231,14.550072
Bahamas,6,0.0,0.0,25.03428,-77.39628
Belgium,1,0.0,0.0,50.503887,4.469936
Belize,1,0.0,0.0,17.189877,-88.49765
Brazil,3,0.0,0.0,-14.235004,-51.92528
CA,2160,158.0,174.0,36.778261,-119.417932
CO,89,5.0,2.0,39.550051,-105.782067
CT,204,10.0,11.0,41.603221,-73.087749
Canada,244,13.0,7.0,56.130366,-106.346771
China,1,0.0,0.0,35.86166,104.195397
Colombia,17,2.0,0.0,4.570868,-74.297333
Cuba,198,17.0,21.0,21.521757,-77.781167
Czech Republic,4,0.0,0.0,49.817492,15.472962
DC,102,1.0,4.0,38.905985,-77.033418
DE,54,2.0,3.0,38.910832,-75.52767
Denmark,1,0.0,0.0,56.26392,9.501785
Dominican Republic,643,60.0,22.0,18.735693,-70.162651
FL,497,43.0,33.0,27.664827,-81.515754
Finland,1,0.0,0.0,61.92411,25.748151
France,8,1.0,0.0,46.227638,2.213749
GA,344,18.0,27.0,32.157435,-82.907123
Germany,46,2.0,1.0,51.165691,10.451526
Greece,1,0.0,0.0,39.074208,21.824312
Guam,1,0.0,0.0,13.444304,144.793731
HI,40,2.0,3.0,19.898682,-155.665857
Honduras,1,0.0,0.0,15.199999,-86.241905
IA,218,10.0,17.0,41.878003,-93.097702
ID,29,3.0,3.0,44.068202,-114.742041
IL,1054,44.0,67.0,40.633125,-89.398528
IN,373,18.0,29.0,40.551217,-85.602364
Indonesia,1,0.0,0.0,-0.789275,113.921327
Ireland,50,0.0,0.0,53.41291,-8.24389
Italy,7,0.0,0.0,41.87194,12.56738
Jamaica,4,1.0,2.0,18.109581,-77.297508
Japan,62,12.0,0.0,36.204824,138.252924
KS,211,4.0,13.0,39.011902,-98.484246
KY,281,12.0,15.0,37.839333,-84.270018
LA,247,17.0,19.0,31.244823,-92.145024
Lithuania,1,0.0,0.0,55.169438,23.881275
MA,665,21.0,35.0,42.407211,-71.382437
MD,309,6.0,19.0,39.045755,-76.641271
ME,78,1.0,2.0,45.253783,-69.445469
MI,432,27.0,30.0,44.314844,-85.602364
MN,165,8.0,15.0,46.729553,-94.6859
MO,604,25.0,54.0,37.964253,-91.831833
MS,200,11.0,11.0,32.354668,-89.398528
MT,24,0.0,0.0,46.879682,-110.362566
Mexico,118,8.0,2.0,23.634501,-102.552784
NC,399,28.0,25.0,35.759573,-79.0193
ND,16,0.0,0.0,47.551493,-101.002012
NE,113,7.0,7.0,41.492537,-99.901813
NH,53,4.0,6.0,43.193852,-71.572395
NJ,427,22.0,25.0,40.058324,-74.405661
NM,28,3.0,1.0,34.97273,-105.032363
NV,36,4.0,0.0,38.80261,-116.419389
NY,1207,41.0,97.0,43.299428,-74.217933
Netherlands,12,0.0,0.0,52.132633,5.291266
Nicaragua,14,2.0,1.0,12.865416,-85.207229
Norway,3,0.0,0.0,60.472024,8.468946
OH,1035,35.0,68.0,40.417287,-82.907123
OK,259,19.0,21.0,35.007752,-97.092877
OR,127,7.0,8.0,43.804133,-120.554201
PA,1417,36.0,94.0,41.203322,-77.194525
PR,253,20.0,21.0,18.220833,-66.590149
Panama,55,4.0,4.0,8.537981,-80.782127
Philippines,1,0.0,0.0,12.879721,121.774017
Poland,5,0.0,0.0,51.919438,19.145136
RI,78,3.0,5.0,41.580095,-71.477429
Russia,8,0.0,0.0,61.52401,105.318756
SC,183,14.0,13.0,33.836081,-81.163725
SD,38,4.0,1.0,43.969515,-99.901813
Saudi Arabia,2,0.0,0.0,23.885942,45.079162
Singapore,1,0.0,0.0,1.352083,103.819836
Slovakia,1,0.0,0.0,48.669026,19.699024
South Korea,17,2.0,0.0,35.907757,127.766922
Spain,4,0.0,0.0,40.463667,-3.74922
Sweden,4,0.0,0.0,60.128161,18.643501
Switzerland,1,0.0,0.0,46.818188,8.227512
TN,296,15.0,20.0,35.517491,-86.580447
TX,891,71.0,43.0,31.968599,-99.901813
Taiwan,11,1.0,0.0,23.69781,120.960515
UT,39,0.0,0.0,39.32098,-111.093731
United Kingdom,49,0.0,0.0,55.378051,-3.435973
VA,286,17.0,16.0,37.431573,-78.656894
VT,38,0.0,0.0,44.558803,-72.577841
Venezuela,341,36.0,8.0,6.42375,-66.58973
WA,195,8.0,12.0,47.751074,-120.740139
WI,244,11.0,13.0,43.78444,-88.787868
WV,120,3.0,10.0,38.597626,-80.454903
WY,15,2.0,1.0,43.075968,-107.290284
