playerID,birthCountry,birthState,playertype,lat,lon,birthCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
aardsda01,USA,CO,AllStar,39.550051,-105.782067,Denver,David,Aardsma,David Allan,220,75,R,R,4/6/2004,8/23/2015,aardd001,aardsda01,11,0,0,0,0,0,0,0,0,0,0,0
aaronha01,USA,AL,AllStar,32.318231,-86.902298,Mobile,Hank,Aaron,Henry Louis,180,72,R,R,4/13/1954,10/3/1976,aaroh101,aaronha01,122,468,58,131,27,6,13,69,2,2,28,39
aaronto01,USA,AL,AllStar,32.318231,-86.902298,Mobile,Tommie,Aaron,Tommie Lee,190,75,R,R,4/10/1962,9/26/1971,aarot101,aaronto01,141,334,54,77,20,2,8,38,6,0,41,58
aasedo01,USA,CA,AllStar,36.778261,-119.417932,Orange,Don,Aase,Donald William,190,75,R,R,7/26/1977,10/3/1990,aased001,aasedo01,13,0,0,0,0,0,0,0,0,0,0,0
abadan01,USA,FL,AllStar,27.664827,-81.515754,Palm Beach,Andy,Abad,Fausto Andres,184,73,L,L,9/10/2001,4/13/2006,abada001,abadan01,1,1,0,0,0,0,0,0,0,0,0,0
abadfe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,La Romana,Fernando,Abad,Fernando Antonio,220,73,L,L,7/28/2010,10/3/2015,abadf001,abadfe01,22,1,0,0,0,0,0,0,0,0,0,1
abadijo01,USA,PA,AllStar,41.203322,-77.194525,Philadelphia,John,Abadie,John W.,192,72,R,R,1875-04-26,1875-06-10,abadj101,abadijo01,11,45,3,10,0,0,0,4,1,0,0,3
abbated01,USA,PA,AllStar,41.203322,-77.194525,Latrobe,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,9/15/1910,abbae101,abbated01,3,10,0,3,0,0,0,0,0,0,1,0
abbeybe01,USA,VT,AllStar,44.558803,-72.577841,Essex,Bert,Abbey,Bert Wood,175,71,R,R,1892-06-14,1896-09-23,abbeb101,abbeybe01,27,75,5,9,1,0,0,3,2,0,9,27
abbeych01,USA,NE,AllStar,41.492537,-99.901813,Falls City,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,1897-08-19,abbec101,abbeych01,31,116,11,30,1,4,0,12,9,0,12,6
abbotda01,USA,OH,AllStar,40.417287,-82.907123,Portage,Dan,Abbott,Leander Franklin,190,71,R,R,1890-04-19,1890-05-23,abbod101,abbotda01,3,7,0,1,0,1,0,1,1,0,0,0
abbotfr01,USA,OH,AllStar,40.417287,-82.907123,Versailles,Fred,Abbott,Harry Frederick,180,70,R,R,4/25/1903,9/20/1905,abbof101,abbotfr01,77,255,25,60,11,3,1,25,8,0,7,0
abbotgl01,USA,AR,AllStar,35.20105,-91.831833,Little Rock,Glenn,Abbott,William Glenn,200,78,R,R,7/29/1973,8/8/1984,abbog001,abbotgl01,5,0,0,0,0,0,0,0,0,0,0,0
abbotje01,USA,GA,AllStar,32.157435,-82.907123,Atlanta,Jeff,Abbott,Jeffrey William,190,74,R,L,6/10/1997,9/29/2001,abboj002,abbotje01,19,38,8,10,1,0,1,2,0,0,0,6
abbotji01,USA,MI,AllStar,44.314844,-85.602364,Flint,Jim,Abbott,James Anthony,200,75,L,L,4/8/1989,7/21/1999,abboj001,abbotji01,29,0,0,0,0,0,0,0,0,0,0,0
abbotku01,USA,OH,AllStar,40.417287,-82.907123,Zanesville,Kurt,Abbott,Kurt Thomas,180,71,R,R,9/7/1993,4/13/2001,abbok002,abbotku01,20,61,11,15,1,0,3,9,2,0,3,20
abbotky01,USA,MA,AllStar,42.407211,-71.382437,Newburyport,Kyle,Abbott,Lawrence Kyle,200,76,L,L,9/10/1991,8/24/1996,abbok001,abbotky01,5,0,0,0,0,0,0,0,0,0,0,0
abbotod01,USA,PA,AllStar,41.203322,-77.194525,New Eagle,Ody,Abbott,Ody Cleon,180,74,R,R,9/10/1910,10/15/1910,abboo101,abbotod01,22,70,2,13,2,1,0,6,3,0,6,20
abbotpa01,USA,CA,AllStar,36.778261,-119.417932,Van Nuys,Paul,Abbott,Paul David,185,75,R,R,8/21/1990,8/7/2004,abbop001,abbotpa01,7,0,0,0,0,0,0,0,0,0,0,0
aberal01,USA,OH,AllStar,40.417287,-82.907123,Cleveland,Al,Aber,Albert Julius,195,74,L,L,9/15/1950,9/11/1957,abera101,aberal01,1,2,0,0,0,0,0,0,0,0,1,1
abercda01,USA,OK,AllStar,35.007752,-97.092877,Fort Towson,Frank,Abercrombie,Francis Patterson,,,,,1871-10-21,1871-10-21,aberd101,abercda01,1,4,0,0,0,0,0,0,0,0,0,0
willite01,USA,CA,AllStar,36.778261,-119.417932,San Diego,Ted,Williams,Theodore Samuel,205,75,L,R,4/20/1939,9/28/1960,willt103,willite01,149,565,131,185,44,11,31,145,2,1,107,64
abadfe01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,La Romana,Fernando,Abad,Fernando Antonio,220,73,L,L,7/28/2010,10/3/2015,abadf001,abadfe01,22,1,0,0,0,0,0,0,0,0,0,1
abreubo01,Venezuela,Venezuela,HallofFame,6.42375,-66.58973,Maracay,Bobby,Abreu,Bob Kelly,220,72,L,R,9/1/1996,9/28/2014,abreb001,abreubo01,15,22,1,5,1,0,0,1,0,0,2,3
abreujo02,Cuba,Cuba,AllStar,21.521757,-77.781167,Cienfuegos,Jose,Abreu,Jose Dariel,255,75,R,R,3/31/2014,10/3/2015,abrej003,abreujo02,145,556,80,176,35,2,36,107,3,1,51,131
abreuju01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,San Francisco de Macoris,Juan,Abreu,Juan de Dios,185,72,R,R,8/29/2011,9/27/2011,abrej002,abreuju01,7,0,0,0,0,0,0,0,0,0,0,0
abreuto01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Puerto Plata,Tony,Abreu,Etanislao Toni,200,70,B,R,5/22/2007,7/28/2014,abret001,abreuto01,59,166,19,45,14,1,2,17,0,0,7,21
abreuwi01,D.R.,Dominican Republic,AllStar,18.735693,-70.162651,Cotui,Winston,Abreu,Winston Leonardo,170,74,R,R,8/6/2006,7/25/2009,abrew001,abreuwi01,7,0,0,0,0,0,0,0,0,0,0,0
