birthState,aAllStar,aHallOfFame,activeTotal,inaAllStar,inaHallOfFame,inactiveTotal,total,lat,lon
Afghanistan,,,,1,,1,1,33.93911,67.709953
AK,1,,1,9,1,10,11,63.588753,-154.493062
AL,10,,10,298,14,312,322,32.318231,-86.902298
AR,5,1,6,131,15,146,152,35.20105,-91.831833
Aruba,,,,5,,5,5,12.52111,-69.968338
Australia,1,,1,24,3,27,28,-25.274398,133.775136
Austria,,,,4,,4,4,47.516231,14.550072
AZ,2,,2,93,4,97,99,34.048928,-111.093731
Bahamas,,,,6,,6,6,25.03428,-77.39628
Belgium,,,,1,,1,1,50.503887,4.469936
Belize,,,,1,,1,1,17.189877,-88.49765
Brazil,,,,2,1,3,3,-14.235004,-51.92528
CA,77,9,86,1937,137,2074,2160,36.778261,-119.417932
Canada,5,,5,217,22,239,244,56.130366,-106.346771
China,,,,1,,1,1,35.86166,104.195397
CO,3,,3,81,5,86,89,39.550051,-105.782067
Colombia,1,,1,16,,16,17,4.570868,-74.297333
CT,6,,6,189,9,198,204,41.603221,-73.087749
Cuba,8,,8,175,15,190,198,21.521757,-77.781167
Czech Republic,,,,4,,4,4,49.817492,15.472962
DC,1,,1,95,6,101,102,38.905985,-77.033418
DE,2,,2,49,3,52,54,38.910832,-75.52767
Denmark,,,,1,,1,1,56.26392,9.501785
Dominican Republic,17,,17,586,40,626,643,18.735693,-70.162651
Finland,,,,1,,1,1,61.92411,25.748151
FL,17,,17,445,35,480,497,27.664827,-81.515754
France,,,,8,,8,8,46.227638,2.213749
GA,14,1,15,313,16,329,344,32.157435,-82.907123
Germany,2,,2,43,1,44,46,51.165691,10.451526
Greece,,,,,1,1,1,39.074208,21.824312
Guam,,,,1,,1,1,13.444304,144.793731
HI,2,,2,36,2,38,40,19.898682,-155.665857
Honduras,,,,1,,1,1,15.199999,-86.241905
IA,4,,4,201,13,214,218,41.878003,-93.097702
ID,,,,27,2,29,29,44.068202,-114.742041
IL,29,,29,956,69,1025,1054,40.633125,-89.398528
IN,5,1,6,349,18,367,373,40.551217,-85.602364
Indonesia,,,,1,,1,1,-0.789275,113.921327
Ireland,2,,2,44,4,48,50,53.41291,-8.24389
Italy,,,,7,,7,7,41.87194,12.56738
Jamaica,1,,1,3,,3,4,18.109581,-77.297508
Japan,,,,60,2,62,62,36.204824,138.252924
KS,4,,4,197,10,207,211,39.011902,-98.484246
KY,12,1,13,252,16,268,281,37.839333,-84.270018
LA,5,1,6,226,15,241,247,31.244823,-92.145024
Lithuania,,,,1,,1,1,55.169438,23.881275
MA,25,,25,592,48,640,665,42.407211,-71.382437
MD,9,,9,285,15,300,309,39.045755,-76.641271
ME,3,,3,66,9,75,78,45.253783,-69.445469
Mexico,4,1,5,103,10,113,118,23.634501,-102.552784
MI,7,1,8,388,36,424,432,44.314844,-85.602364
MN,1,1,2,155,8,163,165,46.729553,-94.6859
MO,17,2,19,550,35,585,604,37.964253,-91.831833
MS,3,,3,186,11,197,200,32.354668,-89.398528
MT,1,,1,21,2,23,24,46.879682,-110.362566
NC,15,,15,355,29,384,399,35.759573,-79.0193
ND,2,,2,12,2,14,16,47.551493,-101.002012
NE,4,,4,103,6,109,113,41.492537,-99.901813
Netherlands,1,,1,9,2,11,12,52.132633,5.291266
NH,3,1,4,45,4,49,53,43.193852,-71.572395
Nicaragua,,,,13,1,14,14,12.865416,-85.207229
NJ,18,,18,379,30,409,427,40.058324,-74.405661
NM,2,,2,24,2,26,28,34.97273,-105.032363
Norway,,,,3,,3,3,60.472024,8.468946
NV,2,,2,33,1,34,36,38.80261,-116.419389
NY,29,4,33,1085,89,1174,1207,43.299428,-74.217933
OH,27,1,28,949,58,1007,1035,40.417287,-82.907123
OK,5,1,6,235,18,253,259,35.007752,-97.092877
OR,7,,7,110,10,120,127,43.804133,-120.554201
PA,36,6,42,1292,83,1375,1417,41.203322,-77.194525
Panama,1,,1,49,5,54,55,8.537981,-80.782127
Philippines,,,,1,,1,1,12.879721,121.774017
Poland,,,,5,,5,5,51.919438,19.145136
Puerto Rico,13,2,15,215,23,238,253,18.220833,-66.590149
RI,4,,4,73,1,74,78,41.580095,-71.477429
Russia,,,,8,,8,8,61.52401,105.318756
Saudi Arabia,,,,2,,2,2,23.885942,45.079162
SC,3,,3,165,15,180,183,33.836081,-81.163725
SD,2,,2,34,2,36,38,43.969515,-99.901813
Singapore,,,,1,,1,1,1.352083,103.819836
Slovakia,,,,1,,1,1,48.669026,19.699024
South Korea,1,,1,16,,16,17,35.907757,127.766922
Spain,,,,4,,4,4,40.463667,-3.74922
Sweden,,,,4,,4,4,60.128161,18.643501
Switzerland,,,,1,,1,1,46.818188,8.227512
Taiwan,1,,1,10,,10,11,23.69781,120.960515
TN,12,1,13,264,19,283,296,35.517491,-86.580447
TX,18,4,22,809,60,869,891,31.968599,-99.901813
United Kingdom,1,,1,47,1,48,49,55.378051,-3.435973
UT,2,,2,36,1,37,39,39.32098,-111.093731
VA,8,,8,255,23,278,286,37.431573,-78.656894
Venezuela,9,,9,308,24,332,341,6.42375,-66.58973
VT,1,,1,35,2,37,38,44.558803,-72.577841
WA,6,,6,176,13,189,195,47.751074,-120.740139
WI,5,,5,215,24,239,244,43.78444,-88.787868
WV,2,,2,109,9,118,120,38.597626,-80.454903
WY,,,,14,1,15,15,43.075968,-107.290284
