birthState,AllStar,HallofFame,total,lat,lon
0,70,3,73,,
Afghanistan,,1,1,,
AL,2,,2,,
AmeriCanada Samoa,1,,1,,
AR,1,,1,,
Aruba,5,,5,,
At Sea,1,,1,,
Australia,28,,28,,
Austria,4,,4,,
Bahamas,6,,6,,
Belgium,1,,1,,
Belize,1,,1,,
Brazil,3,,3,,
CA,3,,3,,
Canada,232,12,244,,
China,1,,1,,
CO,1,,1,,
Colombia,17,,17,,
Cuba,193,5,198,,
Curacao,13,1,14,,
Czech Republic,4,,4,,
Denmark,1,,1,,
Dominican Republic,615,29,644,,
Finland,1,,1,,
FL,1,,1,,
France,8,,8,,
GA,1,,1,,
Germany,45,1,46,,
Greece,1,,1,,
Guam,1,,1,,
Honduras,1,,1,,
Indonesia,1,,1,,
Ireland,48,2,50,,
Italy,6,1,7,,
Jamaica,4,,4,,
Japan,59,3,62,,
Lithuania,1,,1,,
MA,1,,1,,
Mexico,115,3,118,,
MI,1,,1,,
NE,1,,1,,
Netherlands,11,1,12,,
Nicaragua,14,,14,,
Norway,3,,3,,
OH,4,,4,,
OK,1,,1,,
PA,3,,3,,
Panama,53,2,55,,
Philippines,1,,1,,
Poland,5,,5,,
Russia,7,1,8,,
Saudi Arabia,2,,2,,
Singapore,1,,1,,
Slovakia,1,,1,,
South Korea,17,,17,,
Spain,4,,4,,
Sweden,4,,4,,
Switzerland,1,,1,,
Taiwan,10,1,11,,
United Kingdom,47,2,49,,
V.I.,11,1,12,,
Venezuela,323,18,341,,
Viet Nam,1,,1,,
VT,1,,1,,
